wavenumber,absorbance,drug_type
1274.0,0.0316965,Cocaine
1278.0,0.033,Cocaine
1282.0,0.028578000000000003,Cocaine
1286.0,0.0207999,Cocaine
1290.0,0.0139491,Cocaine
1294.0,0.009801,Cocaine
1298.0,0.007781400000000001,Cocaine
1302.0,0.0068046,Cocaine
1306.0,0.0061776,Cocaine
1310.0,0.0057453,Cocaine
1314.0,0.005718900000000001,Cocaine
1318.0,0.00594,Cocaine
1322.0,0.00561,Cocaine
1326.0,0.0044814,Cocaine
1330.0,0.0033627,Cocaine
1334.0,0.0028380000000000002,Cocaine
1338.0,0.0027291,Cocaine
1342.0,0.0027786,Cocaine
1346.0,0.0028512000000000003,Cocaine
1350.0,0.0027918,Cocaine
1354.0,0.0026004,Cocaine
1358.0,0.0024453,Cocaine
1362.0,0.0022902,Cocaine
1366.0,0.0021087000000000002,Cocaine
1370.0,0.0019569,Cocaine
1374.0,0.0018711,Cocaine
1378.0,0.0018447000000000001,Cocaine
1382.0,0.0018249000000000002,Cocaine
1386.0,0.0017226000000000001,Cocaine
1390.0,0.0015609,Cocaine
1394.0,0.0013662000000000001,Cocaine
1398.0,0.0011748000000000001,Cocaine
1402.0,0.0010362000000000001,Cocaine
1406.0,0.0009603000000000001,Cocaine
1410.0,0.0008943,Cocaine
1414.0,0.0008679,Cocaine
1418.0,0.0008877000000000001,Cocaine
1422.0,0.0009438000000000001,Cocaine
1426.0,0.0010857,Cocaine
1430.0,0.0013365,Cocaine
1434.0,0.0018051,Cocaine
1438.0,0.0023727,Cocaine
1442.0,0.002739,Cocaine
1446.0,0.0028809,Cocaine
1450.0,0.0031317000000000003,Cocaine
1454.0,0.0034881,Cocaine
1458.0,0.0033759000000000003,Cocaine
1462.0,0.0026928,Cocaine
1466.0,0.0021153,Cocaine
1470.0,0.0018909,Cocaine
1474.0,0.001881,Cocaine
1478.0,0.0019701000000000002,Cocaine
1482.0,0.0019140000000000001,Cocaine
1486.0,0.0016302,Cocaine
1490.0,0.0013035,Cocaine
1494.0,0.0010725,Cocaine
1498.0,0.0009207000000000001,Cocaine
1502.0,0.0007788000000000001,Cocaine
1506.0,0.0006633,Cocaine
1510.0,0.0005709,Cocaine
1514.0,0.0005181000000000001,Cocaine
1518.0,0.0005049000000000001,Cocaine
1522.0,0.000495,Cocaine
1526.0,0.00045870000000000004,Cocaine
1530.0,0.0004422,Cocaine
1534.0,0.00045870000000000004,Cocaine
1538.0,0.00045210000000000004,Cocaine
1542.0,0.0004356,Cocaine
1546.0,0.000429,Cocaine
1550.0,0.000429,Cocaine
1554.0,0.0004224,Cocaine
1558.0,0.0004092,Cocaine
1562.0,0.0003927,Cocaine
1566.0,0.0004125,Cocaine
1570.0,0.00043890000000000004,Cocaine
1574.0,0.0004818,Cocaine
1578.0,0.0005511,Cocaine
1582.0,0.0006237,Cocaine
1586.0,0.0006798,Cocaine
1590.0,0.000693,Cocaine
1594.0,0.0006732,Cocaine
1598.0,0.0007029,Cocaine
1602.0,0.0008052000000000001,Cocaine
1606.0,0.0008811,Cocaine
1610.0,0.0008283,Cocaine
1614.0,0.0006699000000000001,Cocaine
1618.0,0.0005181000000000001,Cocaine
1622.0,0.0003993,Cocaine
1626.0,0.00037620000000000004,Cocaine
1630.0,0.00036960000000000004,Cocaine
1634.0,0.00035640000000000004,Cocaine
1638.0,0.0003729,Cocaine
1642.0,0.0004191,Cocaine
1646.0,0.0004554,Cocaine
1650.0,0.00045870000000000004,Cocaine
1654.0,0.0004422,Cocaine
1658.0,0.0004191,Cocaine
1662.0,0.000429,Cocaine
1666.0,0.00046530000000000003,Cocaine
1670.0,0.0005082,Cocaine
1674.0,0.0005709,Cocaine
1678.0,0.0006468,Cocaine
1682.0,0.0007392000000000001,Cocaine
1686.0,0.0008679,Cocaine
1690.0,0.0010329,Cocaine
