wavenumber,absorbance,drug_type
482.911512,0.2146701649892329,Sucrose
500.000136,0.2525881921135766,Sucrose
500.949504,0.2549252084179425,Sucrose
501.898872,0.2557070168773237,Sucrose
502.84824,0.2580609222708011,Sucrose
503.797608,0.2596373105057561,Sucrose
504.746976,0.260427655549908,Sucrose
505.696344,0.2612194415156308,Sucrose
506.645712,0.2628073572952627,Sucrose
507.59508,0.2636034977233575,Sucrose
508.544448,0.2676062401770314,Sucrose
509.493816,0.2684112348132613,Sucrose
510.443184,0.2724587429714435,Sucrose
511.392552,0.2732727909734277,Sucrose
512.34192,0.2806687130162733,Sucrose
513.291288,0.2823294969977378,Sucrose
514.240656,0.2907300390241692,Sucrose
515.190024,0.2992962828549806,Sucrose
516.139392,0.3018994543766101,Sucrose
517.08876,0.31238187042823,Sucrose
518.038128,0.3233063903751334,Sucrose
518.987496,0.3400837999301497,Sucrose
519.936864,0.3526170298853802,Sucrose
520.886232,0.370590400897281,Sucrose
521.8356,0.3882766919926582,Sucrose
522.7849679999999,0.39040559077478,Sucrose
523.734336,0.3882766919926582,Sucrose
524.683704,0.3819519032879073,Sucrose
525.633072,0.3767507096020995,Sucrose
526.58244,0.370590400897281,Sucrose
527.531808,0.3675427078152757,Sucrose
528.481176,0.3645162531850879,Sucrose
529.4305439999999,0.3645162531850879,Sucrose
530.379912,0.3645162531850879,Sucrose
531.3292799999999,0.370590400897281,Sucrose
532.278648,0.3746875490383261,Sucrose
533.228016,0.3819519032879073,Sucrose
534.177384,0.3967473380183531,Sucrose
535.126752,0.4034029043735397,Sucrose
536.07612,0.4111682744057927,Sucrose
537.025488,0.4259687322722811,Sucrose
537.9748559999999,0.4365189146055893,Sucrose
538.924224,0.4559319556497244,Sucrose
539.8735919999999,0.4672456210075022,Sucrose
540.82296,0.4710832997223452,Sucrose
541.772328,0.4402130317994435,Sucrose
542.721696,0.3884891128733437,Sucrose
543.671064,0.3882766919926582,Sucrose
544.6204319999999,0.3914739664228058,Sucrose
545.5698,0.3968556273798176,Sucrose
546.519168,0.4012094932368849,Sucrose
547.468536,0.4111682744057927,Sucrose
548.417904,0.4282911681913124,Sucrose
549.367272,0.4509967379742122,Sucrose
550.31664,0.4813544756696885,Sucrose
551.2660079999999,0.5113083016830594,Sucrose
552.215376,0.5128616245228135,Sucrose
553.1647439999999,0.5128616245228135,Sucrose
554.114112,0.5114492834995558,Sucrose
555.06348,0.5030703519267851,Sucrose
556.012848,0.4962093169428189,Sucrose
556.962216,0.4814860601221125,Sucrose
557.911584,0.4672456210075022,Sucrose
558.860952,0.4559319556497244,Sucrose
559.8103199999999,0.4473317838878068,Sucrose
560.759688,0.4436974992327127,Sucrose
561.7090559999999,0.4400933749638875,Sucrose
562.658424,0.4365189146055893,Sucrose
563.607792,0.4353339357479107,Sucrose
564.55716,0.431798275933005,Sucrose
565.506528,0.431798275933005,Sucrose
566.4558959999999,0.431798275933005,Sucrose
567.405264,0.4294570601181025,Sucrose
568.354632,0.4294570601181025,Sucrose
569.304,0.431798275933005,Sucrose
570.253368,0.431798275933005,Sucrose
571.202736,0.4329736338409396,Sucrose
572.152104,0.4353339357479107,Sucrose
573.101472,0.438898616350944,Sucrose
574.05084,0.4400933749638875,Sucrose
575.0002079999999,0.4436974992327127,Sucrose
575.949576,0.4473317838878068,Sucrose
576.898944,0.4509967379742122,Sucrose
577.848312,0.4546928835341759,Sucrose
578.79768,0.4584207560534191,Sucrose
579.747048,0.4634415574284699,Sucrose
580.696416,0.4672456210075022,Sucrose
581.645784,0.4710832997223452,Sucrose
582.595152,0.4788619162959637,Sucrose
583.5445199999999,0.4828041020500256,Sucrose
584.493888,0.4828041020500256,Sucrose
585.443256,0.4814860601221125,Sucrose
586.392624,0.4814860601221125,Sucrose
587.341992,0.4749551929631547,Sucrose
588.2913599999999,0.4710832997223452,Sucrose
589.240728,0.4634415574284699,Sucrose
590.190096,0.4621809049267259,Sucrose
591.139464,0.4584207560534191,Sucrose
592.0888319999999,0.4522252946121775,Sucrose
593.0382,0.4509967379742122,Sucrose
593.987568,0.4497716469449059,Sucrose
594.936936,0.4461169733561256,Sucrose
595.886304,0.4424927980943421,Sucrose
596.8356719999999,0.4400933749638875,Sucrose
597.78504,0.4365189146055893,Sucrose
598.734408,0.4329736338409396,Sucrose
599.683776,0.4282911681913124,Sucrose
600.633144,0.4248121550723389,Sucrose
601.582512,0.4213607900319276,Sucrose
602.53188,0.4122890349810886,Sucrose
603.481248,0.4100503986742922,Sucrose
604.430616,0.4067139329795427,Sucrose
605.3799839999999,0.3968556273798176,Sucrose
606.329352,0.3914739664228058,Sucrose
607.27872,0.39040559077478,Sucrose
608.228088,0.3872161432802645,Sucrose
609.177456,0.384049948343599,Sucrose
610.1268239999999,0.3788237182249648,Sucrose
611.076192,0.3767507096020995,Sucrose
612.02556,0.370590400897281,Sucrose
612.974928,0.368556230986828,Sucrose
613.9242959999999,0.3645162531850879,Sucrose
614.873664,0.3625102704874893,Sucrose
615.823032,0.3615107430453627,Sucrose
616.7724,0.3535962737769304,Sucrose
617.721768,0.3506651412878581,Sucrose
618.6711359999999,0.3467874862246563,Sucrose
619.620504,0.3458234581220394,Sucrose
620.569872,0.3439017979871681,Sucrose
621.51924,0.342944147142896,Sucrose
622.468608,0.3372421683184259,Sucrose
623.417976,0.3344190089820468,Sucrose
624.367344,0.3316140833099998,Sucrose
625.3167119999999,0.3297541469258759,Sucrose
626.26608,0.3260580013659122,Sucrose
627.2154479999999,0.3233063903751334,Sucrose
628.164816,0.3214816209598861,Sucrose
629.114184,0.3205721033878811,Sucrose
630.063552,0.3187587626244128,Sucrose
631.01292,0.3187587626244128,Sucrose
631.962288,0.3187587626244128,Sucrose
632.911656,0.3205721033878811,Sucrose
633.861024,0.3214816209598861,Sucrose
634.810392,0.3233063903751334,Sucrose
635.7597599999999,0.3297541469258759,Sucrose
636.709128,0.332547047110046,Sucrose
637.658496,0.3400837999301497,Sucrose
638.607864,0.3458234581220394,Sucrose
639.557232,0.3496924768680635,Sucrose
640.5065999999999,0.3496924768680635,Sucrose
641.455968,0.3477536589966768,Sucrose
642.405336,0.3467874862246563,Sucrose
643.354704,0.3439017979871681,Sucrose
644.304072,0.3400837999301497,Sucrose
645.25344,0.3316140833099998,Sucrose
646.202808,0.3288271572849167,Sucrose
647.1521759999999,0.3214816209598861,Sucrose
648.101544,0.3142582613977364,Sucrose
649.0509119999999,0.3098039199714863,Sucrose
650.00028,0.3018994543766101,Sucrose
650.949648,0.3010299956639812,Sucrose
651.899016,0.2967086218813386,Sucrose
652.848384,0.2958494831602009,Sucrose
653.797752,0.2932822176632412,Sucrose
654.74712,0.2915790998652872,Sucrose
655.696488,0.2915790998652872,Sucrose
656.645856,0.2915790998652872,Sucrose
657.5952239999999,0.2915790998652872,Sucrose
658.544592,0.2915790998652872,Sucrose
659.49396,0.2915790998652872,Sucrose
660.443328,0.2932822176632412,Sucrose
661.392696,0.2932822176632412,Sucrose
662.3420639999999,0.2941362877160807,Sucrose
663.291432,0.2941362877160807,Sucrose
664.2408,0.2958494831602009,Sucrose
665.190168,0.2992962828549806,Sucrose
666.139536,0.2992962828549806,Sucrose
667.088904,0.3010299956639812,Sucrose
668.038272,0.3018994543766101,Sucrose
