wavenumber,absorbance,drug_type
1094.0,0.597116884,Lactic Acid
1098.0,0.7200230219999999,Lactic Acid
1102.0,0.8647595109999999,Lactic Acid
1106.0,0.995993991,Lactic Acid
1110.0,1.151204001,Lactic Acid
1114.0,1.199281248,Lactic Acid
1118.0,1.2618699999999998,Lactic Acid
1122.0,1.2483679909999998,Lactic Acid
1126.0,1.2517750399999998,Lactic Acid
1130.0,1.186914922,Lactic Acid
1134.0,1.1072909249999998,Lactic Acid
1138.0,1.000158162,Lactic Acid
1142.0,0.8075967999999999,Lactic Acid
1146.0,0.649736863,Lactic Acid
1150.0,0.522792741,Lactic Acid
1154.0,0.45010902899999994,Lactic Acid
1158.0,0.39837235899999995,Lactic Acid
1162.0,0.36972791,Lactic Acid
1166.0,0.34436432299999997,Lactic Acid
1170.0,0.32064116699999995,Lactic Acid
1174.0,0.299189377,Lactic Acid
1178.0,0.27849470899999995,Lactic Acid
1182.0,0.260954716,Lactic Acid
1186.0,0.24480277999999997,Lactic Acid
1190.0,0.23912436499999998,Lactic Acid
1194.0,0.23445544599999998,Lactic Acid
1198.0,0.23609587699999998,Lactic Acid
1202.0,0.23836724299999998,Lactic Acid
1206.0,0.24164810499999997,Lactic Acid
1210.0,0.23811486899999998,Lactic Acid
1214.0,0.22839847,Lactic Acid
1218.0,0.21464408699999998,Lactic Acid
1222.0,0.19470654099999998,Lactic Acid
1226.0,0.17893316599999998,Lactic Acid
1230.0,0.168459645,Lactic Acid
1234.0,0.168838206,Lactic Acid
1238.0,0.171235759,Lactic Acid
1242.0,0.18271877599999997,Lactic Acid
1246.0,0.19470654099999998,Lactic Acid
1250.0,0.207451428,Lactic Acid
1254.0,0.21931300599999998,Lactic Acid
1258.0,0.231300771,Lactic Acid
1262.0,0.24631702399999997,Lactic Acid
1266.0,0.254645366,Lactic Acid
1270.0,0.26461413899999997,Lactic Acid
1274.0,0.260954716,Lactic Acid
1278.0,0.258935724,Lactic Acid
1282.0,0.248462203,Lactic Acid
1286.0,0.24215285299999997,Lactic Acid
1290.0,0.23723155999999998,Lactic Acid
1294.0,0.23697918599999998,Lactic Acid
1298.0,0.229912714,Lactic Acid
1302.0,0.227010413,Lactic Acid
1306.0,0.22536998199999997,Lactic Acid
1310.0,0.22234149399999997,Lactic Acid
1314.0,0.227893722,Lactic Acid
1318.0,0.23357213699999999,Lactic Acid
1322.0,0.23508638099999998,Lactic Acid
1326.0,0.231931706,Lactic Acid
1330.0,0.230291275,Lactic Acid
1334.0,0.226884226,Lactic Acid
1338.0,0.21742020099999998,Lactic Acid
1342.0,0.22486523399999997,Lactic Acid
1346.0,0.21527502199999998,Lactic Acid
1350.0,0.20076351699999997,Lactic Acid
1354.0,0.19609459799999998,Lactic Acid
1358.0,0.19558984999999998,Lactic Acid
1362.0,0.187135321,Lactic Acid
1366.0,0.20240394799999997,Lactic Acid
1370.0,0.19420179299999998,Lactic Acid
1374.0,0.20379200499999997,Lactic Acid
1378.0,0.205180062,Lactic Acid
1382.0,0.21287746899999999,Lactic Acid
1386.0,0.205558623,Lactic Acid
1390.0,0.20038495599999998,Lactic Acid
1394.0,0.18183546699999997,Lactic Acid
1398.0,0.163538352,Lactic Acid
1402.0,0.148269725,Lactic Acid
1406.0,0.124420382,Lactic Acid
1410.0,0.10170672199999999,Lactic Acid
1414.0,0.09085463999999999,Lactic Acid
1418.0,0.08012874499999999,Lactic Acid
1422.0,0.070412346,Lactic Acid
1426.0,0.070538533,Lactic Acid
1430.0,0.06082213399999999,Lactic Acid
1434.0,0.062084004,Lactic Acid
1438.0,0.057919833,Lactic Acid
1442.0,0.070538533,Lactic Acid
1446.0,0.06561724,Lactic Acid
1450.0,0.074702704,Lactic Acid
1454.0,0.08050730599999999,Lactic Acid
1458.0,0.08757377799999999,Lactic Acid
1462.0,0.09590212,Lactic Acid
1466.0,0.083535794,Lactic Acid
1470.0,0.08050730599999999,Lactic Acid
1474.0,0.06612198799999999,Lactic Acid
1478.0,0.052493792,Lactic Acid
1482.0,0.048455807999999996,Lactic Acid
1486.0,0.042525019,Lactic Acid
1490.0,0.027382578999999997,Lactic Acid
1494.0,0.032051498,Lactic Acid
1498.0,0.018675676,Lactic Acid
1502.0,0.015394813999999998,Lactic Acid
1506.0,0.011609204,Lactic Acid
1510.0,0.018170928,Lactic Acid
1514.0,0.026625456999999998,Lactic Acid
1518.0,0.015268626999999998,Lactic Acid
1522.0,0.017918554,Lactic Acid
1526.0,0.0030284879999999998,Lactic Acid
1530.0,0.010347334,Lactic Acid
1534.0,0.009337838,Lactic Acid
1538.0,0.012744886999999998,Lactic Acid
1542.0,0.005299854,Lactic Acid
1546.0,0.000252374,Lactic Acid
1550.0,0.014637691999999999,Lactic Acid
1554.0,0.009968772999999998,Lactic Acid
1558.0,0.006814097999999999,Lactic Acid
1562.0,0.0,Lactic Acid
1566.0,0.0047951059999999995,Lactic Acid
1570.0,0.006183162999999999,Lactic Acid
1574.0,0.006814097999999999,Lactic Acid
1578.0,0.0054260409999999995,Lactic Acid
1582.0,0.003911797,Lactic Acid
1586.0,0.009211651,Lactic Acid
1590.0,0.008454528999999999,Lactic Acid
1594.0,0.010978268999999999,Lactic Acid
1598.0,0.011230642999999998,Lactic Acid
1602.0,0.013502008999999999,Lactic Acid
1606.0,0.013249635,Lactic Acid
1610.0,0.015016252999999999,Lactic Acid
1614.0,0.014511505,Lactic Acid
1618.0,0.013249635,Lactic Acid
1622.0,0.009716398999999999,Lactic Acid
1626.0,0.012366325999999999,Lactic Acid
1630.0,0.013123448,Lactic Acid
1634.0,0.009590211999999999,Lactic Acid
1638.0,0.009716398999999999,Lactic Acid
1642.0,0.007949781,Lactic Acid
1646.0,0.010221147,Lactic Acid
1650.0,0.007066471999999999,Lactic Acid
1654.0,0.007192659,Lactic Acid
1658.0,0.005299854,Lactic Acid
1662.0,0.011483017,Lactic Acid
1666.0,0.012744886999999998,Lactic Acid
1670.0,0.010221147,Lactic Acid
1674.0,0.018170928,Lactic Acid
1678.0,0.009590211999999999,Lactic Acid
1682.0,0.02018992,Lactic Acid
1686.0,0.017792367,Lactic Acid
1690.0,0.015773375,Lactic Acid
1694.0,0.024354090999999998,Lactic Acid
1698.0,0.023470782,Lactic Acid
1702.0,0.025363586999999996,Lactic Acid
1706.0,0.035584734,Lactic Acid
1710.0,0.046436816,Lactic Acid
1714.0,0.049843864999999994,Lactic Acid
1718.0,0.062084004,Lactic Acid
1722.0,0.06662673599999999,Lactic Acid
1726.0,0.08795233899999999,Lactic Acid
1730.0,0.09855204699999999,Lactic Acid
1734.0,0.11886815399999999,Lactic Acid
1738.0,0.13173922799999999,Lactic Acid
1742.0,0.16782871,Lactic Acid
1746.0,0.21413933899999998,Lactic Acid
1750.0,0.280387514,Lactic Acid
1754.0,0.374396829,Lactic Acid
1758.0,0.49301260899999994,Lactic Acid
1762.0,0.648348806,Lactic Acid
1766.0,0.7779428549999999,Lactic Acid
1770.0,0.9345409219999999,Lactic Acid
1774.0,1.01201974,Lactic Acid
1778.0,1.144263716,Lactic Acid
1782.0,1.129121276,Lactic Acid
1786.0,1.2467275599999998,Lactic Acid
1790.0,1.2308279979999999,Lactic Acid
1794.0,1.180479385,Lactic Acid
1798.0,1.035238148,Lactic Acid
1802.0,0.8997133099999999,Lactic Acid
1806.0,0.7231776969999999,Lactic Acid
1810.0,0.5562322959999999,Lactic Acid
1814.0,0.43143335299999996,Lactic Acid
1818.0,0.325310086,Lactic Acid
1822.0,0.260449968,Lactic Acid
1826.0,0.204675314,Lactic Acid
1830.0,0.164295474,Lactic Acid
1834.0,0.12214901599999999,Lactic Acid
1838.0,0.095775933,Lactic Acid
1842.0,0.07785737899999999,Lactic Acid
1846.0,0.060065011999999994,Lactic Acid
1850.0,0.053629474999999996,Lactic Acid
1854.0,0.042525019,Lactic Acid
1858.0,0.035837108,Lactic Acid
1862.0,0.027382578999999997,Lactic Acid
